FIR_ID,Police_Division,Police_Station,Date_of_FIR_Filing,Criminal_Act,Criminal_Activity,Locality,Investigating_Officer,Case_Solved,Criminal_Act_Applied,Victim_Gender,Victim_Count_Female,Victim_Count_Male,Convicted_Count,Convicted_Count_Male,Convicted_Count_Female,Modus_Operandi,FIR_Description,Formatted
AADE7DD8,Sinhagad-Road Division,Sinhagad Road Police Station,2024-12-10,Sexual Harassment,Individual,Anandnagar,Vaishali Chavan,Yes,Sexual Harassment,Other,2,1,3,1,2,Stalking,"Sexual Harassment by Stalking in Anandnagar on 2024-12-10, 3 victims",Sexual Harassment Stalking Anandnagar
7D94B914,Pune Division,Camp Police Station,2024-04-24,Smuggling,Gang,Shaniwar Wada,Sandeep Gaikwad,No,Smuggling,Other,1,3,1,1,0,Hidden in vehicles,"Smuggling by Hidden in vehicles in Shaniwar Wada on 2024-04-24, 4 victims",Smuggling Hidden vehicles in Shaniwar Wada
141DD713,Vishrambaug and Deccan Division,Kothrud Police Station,2025-06-10,Kidnapping,Individual,Ideal Colony,Sunil Deshmukh,Yes,Kidnapping,Other,0,2,2,0,2,Luring victim,"Kidnapping by Luring victim in Ideal Colony on 2025-06-10, 2 victims",Kidnapping Luring victim Ideal Colony
CE4AE1F2,Vishrambaug and Deccan Division,Warje-Malwadi Police Station,2025-01-07,Illegal Arms Possession,Individual,Shivane,Rajesh Patil,No,Illegal Arms Possession,Male,0,0,0,0,0,Unlicensed firearm,"Illegal Arms Possession by Unlicensed firearm in Shivane on 2025-01-07, 0 victims",Illegal Arms Possession Unlicensed firearm Shivane
055CBB61,Pune Division,Kalyani Nagar Police Station,2023-09-21,Assault,Gang,Kalyani Nagar,Sandeep Gaikwad,No,Assault,Female,3,0,3,3,0,Political rally violence,"Assault by Political rally violence in Kalyani Nagar on 2023-09-21, 3 victims",Assault Political rally violence Kalyani Nagar
EF566E33,Vishrambaug and Deccan Division,Shivajinagar Police Station,2024-09-27,Homicide,Gang,FC Road,Nitin Kadam,Yes,Homicide,Other,2,0,0,0,0,Stabbing,"Homicide by Stabbing in FC Road on 2024-09-27, 2 victims",Homicide Stabbing FC Road
CCBDC7BF,Sinhagad-Road Division,Nanded City Police Station,2023-11-26,Extortion,Individual,Kirkatwadi,Sunil Deshmukh,Yes,Extortion,Female,1,0,1,1,0,Blackmail,"Extortion by Blackmail in Kirkatwadi on 2023-11-26, 1 victim",Extortion Blackmail Kirkatwadi
E8A5C362,Swargate Division,Bibvewadi Police Station,2025-07-03,Burglary,Gang,Dhankawadi,Sunil Deshmukh,Yes,Burglary,Male,0,2,0,0,0,Inside job,"Burglary by Inside job in Dhankawadi on 2025-07-03, 2 victims",Burglary Inside job Dhankawadi
5C4650B2,Sinhagad-Road Division,Sinhagad Road Police Station,2023-06-22,Fraud,Individual,Hingne,Sandeep Gaikwad,Yes,Fraud,Male,3,2,0,0,0,Ponzi schemes,"Fraud by Ponzi schemes in Hingne on 2023-06-22, 5 victims",Fraud Ponzi schemes Hingne
091EC2BC,Vishrambaug and Deccan Division,Shivajinagar Police Station,2024-03-10,Homicide,Gang,FC Road,Prashant Jadhav,Yes,Homicide,Male,0,1,0,0,0,Gunshot,"Homicide by Gunshot in FC Road on 2024-03-10, 1 victim",Homicide Gunshot FC Road
558AA920,Pune Division,Kalyani Nagar Police Station,2025-06-30,Fraud,Gang,Koregaon Park,Prashant Jadhav,Yes,Fraud,Female,3,1,4,2,2,Tax evasion,"Fraud by Tax evasion in Koregaon Park on 2025-06-30, 4 victims",Fraud Tax evasion Koregaon Park
B7E3DF21,Pune Division,Camp Police Station,2023-07-07,Murder,Gang,Shaniwar Wada,Prashant Jadhav,Yes,Murder,Male,2,0,1,0,1,Firearm,"Murder by Firearm in Shaniwar Wada on 2023-07-07, 2 victims",Murder Firearm Shaniwar Wada
7F18160D,Sinhagad-Road Division,Narhe Police Station,2024-09-20,Human Trafficking,Individual,Ambegaon Budruk,Vaishali Chavan,No,Human Trafficking,Other,3,3,1,1,0,Bonded labor,"Human Trafficking by Bonded labor in Ambegaon Budruk on 2024-09-20, 6 victims",Human Trafficking Bonded labor Ambegaon Budruk
7F053EE6,Swargate Division,Market Yard Police Station,2025-02-09,Murder,Gang,Bhekrai Nagar,Rajesh Patil,No,Murder,Male,1,0,1,1,0,Gang violence,"Murder by Gang violence in Bhekrai Nagar on 2025-02-09, 1 victim",Murder Gang violence Bhekrai Nagar
03892D17,Swargate Division,Bharati Vidyapeeth Police Station,2025-02-12,Burglary,Gang,Bharati Vidyapeeth,Vaishali Chavan,Yes,Burglary,Other,1,0,0,0,0,Night break-in,"Burglary by Night break-in in Bharati Vidyapeeth on 2025-02-12, 1 victim",Burglary Night break-in Bharati Vidyapeeth
60DC62C3,Pune Division,Camp Police Station,2024-06-05,Cyber Crime,Individual,Camp,Ramesh More,No,Cyber Crime,Female,0,3,0,0,0,Phishing,"Cyber Crime by Phishing in Camp on 2024-06-05, 3 victims",Cyber Crime Phishing Camp
9F7C66E7,Sinhagad-Road Division,Narhe Police Station,2024-06-24,Domestic Abuse,Gang,Ambegaon Budruk,Sunil Deshmukh,Yes,Domestic Abuse,Male,1,2,0,0,0,Financial control,"Domestic Abuse by Financial control in Ambegaon Budruk on 2024-06-24, 3 victims",Domestic Abuse Financial control Ambegaon Budruk
48E0766B,Sinhagad-Road Division,Narhe Police Station,2023-06-12,Kidnapping,Gang,Ambegaon Budruk,Swati Joshi,No,Kidnapping,Female,2,3,4,4,0,Drugging,"Kidnapping by Drugging in Ambegaon Budruk on 2023-06-12, 5 victims",Kidnapping Drugging Ambegaon Budruk
A44475B4,Vishrambaug and Deccan Division,Kothrud Police Station,2023-06-23,Murder,Individual,Karve Nagar,Anjali Kulkarni,No,Murder,Male,3,0,1,1,0,Gang violence,"Murder by Gang violence in Karve Nagar on 2023-06-23, 3 victims",Murder Gang violence Karve Nagar
B19F20BB,Pune Division,Camp Police Station,2025-04-25,Robbery,Individual,Shaniwar Wada,Nitin Kadam,Yes,Robbery,Male,2,1,0,0,0,Highway robbery,"Robbery by Highway robbery in Shaniwar Wada on 2025-04-25, 3 victims",Robbery Highway robbery Shaniwar Wada
2186DFE2,Sinhagad-Road Division,Nanded City Police Station,2024-06-15,Fraud,Individual,Dhayari,Vaishali Chavan,Yes,Fraud,Other,0,2,0,0,0,Ponzi schemes,"Fraud by Ponzi schemes in Dhayari on 2024-06-15, 2 victims",Fraud Ponzi schemes Dhayari
72DB04C5,Sinhagad-Road Division,Nanded City Police Station,2023-04-17,Homicide,Individual,Kirkatwadi,Nitin Kadam,No,Homicide,Male,2,2,3,0,3,Gunshot,"Homicide by Gunshot in Kirkatwadi on 2023-04-17, 4 victims",Homicide Gunshot Kirkatwadi
18D3E727,Pune Division,Camp Police Station,2024-08-29,Human Trafficking,Individual,Camp,Nitin Kadam,Yes,Human Trafficking,Male,2,1,1,1,0,Bonded labor,"Human Trafficking by Bonded labor in Camp on 2024-08-29, 3 victims",Human Trafficking Bonded labor Camp
